CACHED SECOND TOTAL 1.304 s
  1.304 s     1 calls startGame
  1.071 s     1 calls runGame
  1.000 s     1 calls runGame>runTestLevel
  0.666 s    19 calls renderFrame
  0.460 s     1 calls renderFrame>initializeScene
  0.220 s     5 calls path
  0.191 s     1 calls renderFrame>drawStaticBackground
  0.191 s     1 calls drawContinuousBackground
  0.186 s    72 calls stepPhysics
  0.167 s     3 calls addpath
  0.152 s    73 calls stepLevel
  0.149 s    73 calls stepContinuousWorld
  0.133 s   144 calls resolveCollisions
  0.108 s    19 calls renderFrame>updateMechanic
  0.107 s    19 calls updateContinuousMechanic
  0.099 s     1 calls drawContinuousBackground>drawNorthLiBridge
  0.099 s  7830 calls resolveCollisions>overlaps
  0.095 s    97 calls prepareAxes
